ID	汉字	拼音
6055	嚯	huo4
6056	瀖	huo4
6057	耯	huo4
6058	艧	huo4
6059	藿	huo4
6060	蠖	huo4
6061	嚿	huo4
6062	曤	huo4
6063	臛	huo4
6064	癨	huo4
6065	矐	huo4
6066	鑊	huo4
6067	靃	huo4
6068	讥	ji1
6069	击	ji1
6070	刉	ji1
6071	叽	ji1
6072	饥	ji1
6073	乩	ji1
6074	刏	ji1
6075	圾	ji1
6076	机	ji1
6077	玑	ji1
6078	肌	ji1
6079	芨	ji1
6080	矶	ji1
6081	鸡	ji1
6082	枅	ji1
6083	咭	ji1
6084	迹	ji4
6085	剞	ji1
6086	唧	ji1
6087	姬	ji1
6088	屐	ji1
6089	积	ji1
6090	笄	ji1
6091	基	ji1
6092	绩	ji4
6093	喞	ji1
6094	嵆	ji1
6095	嵇	ji1
6096	攲	qi1
6097	敧	ji1
6098	犄	ji1
6099	筓	ji1
6100	缉	ji1
6101	缉	qi1
6102	赍	ji1
6103	勣	ji4
6104	嗘	ji1
6105	畸	ji1
6106	稘	ji1
6107	稘	qi2
6108	跻	ji1
6109	鳮	ji1
6110	僟	ji1
6111	毄	ji1
6112	箕	ji1
6113	銈	ji1
6114	嘰	ji1
6115	撃	ji1
6116	槣	ji1
6117	樭	ji1
6118	畿	ji1
6119	稽	ji1
6120	緝	ji1
6121	觭	ji1
6122	賫	ji1
6123	躸	ji1
6124	齑	ji1
6125	墼	ji1
6126	憿	jiao3
6127	機	ji1
6128	激	ji1
6129	璣	ji1
6130	禨	ji1
6131	積	ji1
6132	錤	ji1
6133	隮	ji1
6134	擊	ji1
6135	磯	ji1
6136	簊	ji1
6137	績	ji4
6138	羁	ji1
6139	賷	ji1
6140	鄿	ji1
6141	櫅	ji1
6142	耭	ji1
6143	雞	ji1
6144	譏	ji1
6145	韲	ji1
6146	鶏	ji1
6147	譤	ji1
6148	鐖	ji1
6149	饑	ji1
6150	癪	ji1
6151	躋	ji1
6152	鞿	ji1
6153	鷄	ji1
6154	齎	ji1
6155	羇	ji1
6156	虀	ji1
6157	鑇	ji1
6158	覉	ji1
6159	鑙	ji1
6160	齏	ji1
6161	羈	ji1
6162	鸄	ji1
6163	覊	ji1
6164	亼	ji2
6165	及	ji2
6166	伋	ji2
6167	吉	ji2
6168	岌	ji2
6169	彶	ji2
6170	忣	ji2
6171	汲	ji2
6172	级	ji2
6173	即	ji2
6174	即	ji4
6175	极	ji2
6176	亟	ji2
6177	佶	ji2
6178	郆	ji2
6179	卽	ji2
6180	叝	gao4
6181	姞	ji2
6182	急	ji2
6183	狤	ji2
6184	皍	ji2
6185	笈	ji2
6186	級	ji2
6187	揤	ji2
6188	疾	ji2
6189	觙	ji2
6190	偮	ji2
6191	卙	ji2
6192	庴	cuo4
6193	楖	ji2
6194	焏	ji2
6195	脨	cu4
6196	谻	ji2
6197	戢	ji2
6198	棘	ji2
6199	極	ji2
6200	殛	ji2
6201	湒	ji2
6202	集	ji2
6203	塉	ji2
6204	嫉	ji2
6205	嫉	ji4
6206	愱	ji2
6207	楫	ji2
6208	蒺	ji2
6209	蝍	ji2
6210	趌	ji2
6211	辑	ji4
6212	辑	ji2
6213	槉	ji2
6214	耤	ji2
6215	膌	ji2
6216	銡	ji2
6217	嶯	ji2
6218	潗	ji2
6219	瘠	ji2
6220	箿	ji2
6221	蕀	ji2
6222	蕺	ji2
6223	踖	ji2
6224	鞊	ji2
6225	鹡	ji2
6226	橶	ji2
6227	檝	ji2
6228	濈	ji2
6229	螏	ji2
6230	輯	ji2
6231	襋	ji2
6232	蹐	ji2
6233	鍓	ji2
6234	艥	ji2
6235	籍	ji2
6236	轚	ji2
6237	鏶	ji2
6238	霵	ji2
6239	鶺	ji2
6240	鷑	ji2
6241	躤	ji2
6242	雧	ji2
6243	几	ji3
6244	几	ji1
6245	己	ji3
6246	丮	ji3
6247	妀	ji3
6248	犱	ji2
6249	泲	ji4
6250	虮	ji3
6251	挤	ji3
6252	脊	ji2
6253	脊	ji3
6254	掎	ji3
6255	鱾	ji3
6256	幾	ji1
6257	幾	ji3
6258	戟	ji3
6259	嵴	ji2
6260	麂	ji3
6261	魢	ji3
6262	撠	ji3
6263	擠	ji3
6264	穖	ji3
6265	蟣	ji3
6266	旡	ji4
6267	计	ji4
6268	记	ji4
6269	伎	ji4
6270	纪	ji4
6271	坖	ji4
6272	妓	ji4
6273	忌	ji4
6274	技	ji4
6275	芰	ji4
6276	芶	ji4
6277	际	ji4
6278	剂	ji4
6279	季	ji4
6280	哜	ji4
6281	垍	jian4
6282	峜	ji4
6283	既	ji4
6284	洎	ji4
6285	济	ji4
6286	济	ji3
6287	紀	ji4
6288	茍	ji2
6289	計	ji4
6290	剤	ji4
6291	紒	ji4
6292	继	ji4
6293	觊	ji4
6294	記	ji4
6295	偈	ji4
6296	寂	ji4
6297	寄	ji4
6298	徛	ji4
6299	悸	ji4
6300	旣	ji4
6301	梞	ji4
6302	済	ji4
6303	済	ji3
6304	祭	ji4
6305	萕	qi0
6306	惎	ji4
6307	臮	ji4
6308	葪	ji4
6309	蔇	ji4
6310	兾	ji4
6311	痵	ji4
6312	継	ji4
6313	蓟	ji4
6314	裚	ji4
6315	跡	ji4
6316	際	ji4
6317	墍	ji4
6318	暨	ji4
6319	漃	ji4
6320	漈	ji4
6321	禝	ji4
6322	稩	ji4
6323	穊	ji4
6324	誋	ji4
6325	跽	ji4
6326	霁	ji4
6327	鲚	ji4
6328	暩	gui4
6329	稷	ji4
6330	諅	ji4
6331	鲫	ji4
6332	冀	ji4
6333	劑	ji4
6334	曁	ji4
6335	穄	ji4
6336	縘	ji4
6337	薊	ji4
6338	襀	ji4
6339	髻	ji4
6340	嚌	ji4
6341	嚌	jie1
6342	檕	ji4
6343	濟	ji4
6344	濟	ji3
6345	繋	ji4
6346	繋	xi4
6347	罽	ji4
6348	覬	ji4
6349	鮆	ji4
6350	檵	ji4
6351	璾	ji4
6352	蹟	ji4
6353	鯽	ji4
6354	鵋	ji4
6355	齌	ji4
6356	廭	ji4
6357	懻	ji4
6358	癠	ji4
6359	穧	ji4
6360	糭	ji4
6361	繫	ji4
6362	繫	xi4
6363	蘎	ji4
6364	骥	ji4
6365	鯚	ji4
6366	瀱	ji4
6367	繼	ji4
6368	蘮	ji4
6369	鱀	ji4
6370	蘻	ji4
6371	霽	ji4
6372	鰶	ji4
6373	鰿	ji4
6374	鱭	ji4
6375	驥	ji4
6376	加	jia1
6377	宊	tu1
6378	抸	jia1
6379	佳	jia1
6380	拁	jia1
6381	泇	jia1
6382	迦	jia1
6383	枷	jia1
6384	毠	jia1
6385	浃	jia1
6386	珈	jia1
6387	埉	jia2
6388	家	jia1
6389	浹	jia1
6390	痂	jia1
6391	梜	jia1
6392	笳	jia1
6393	耞	jia1
6394	袈	jia1
6395	袷	qia1
6396	傢	jia1
6397	猳	jia1
6398	葭	jia1
6399	裌	jia2
6400	跏	jia1
6401	犌	jia1
6402	腵	jia1
6403	鉫	jia1
6404	嘉	jia1
6405	镓	jia1
6406	糘	jia1
6407	豭	jia1
6408	貑	jia1
6409	鎵	jia1
6410	麚	jia1
6411	圿	jia2
6412	扴	jia2
6413	岬	jia3
6414	郏	jia2
6415	荚	jia2
6416	郟	jia2
6417	唊	jia2
6418	恝	jia2
6419	莢	jia2
6420	戛	jia2
6421	脥	qie4
6422	铗	jia2
6423	戞	jia2
6424	蛱	jia2
6425	颊	jia2
6426	蛺	jia2
6427	跲	jia2
6428	餄	he2
6429	鋏	jia2
6430	頬	jia2
6431	頰	jia2
6432	鴶	jie1
6433	鵊	jia2
6434	甲	jia3
6435	叚	jia3
6436	玾	jia3
6437	胛	jia3
6438	斚	jia3
6439	贾	jia3
6440	贾	jia4
6441	贾	gu3
6442	钾	jia3
6443	婽	jia3
6444	徦	jia3
6445	斝	jia3
6446	椵	jia3
6447	賈	gu3
6448	賈	jia3
6449	鉀	jia3
6450	榎	jia3
6451	槚	jia3
6452	瘕	jia3
6453	檟	jia3
6454	价	jia4
6455	驾	jia4
6456	架	jia4
6457	假	jia3
6458	嫁	jia4
6459	幏	jia4
6460	榢	jia4
6461	價	jia4
6462	稼	jia4
6463	駕	jia4
6464	戋	jian1
6465	奸	jian1
6466	尖	jian1
6467	幵	jian1
6468	坚	jian1
6469	歼	jian1
6470	间	jian1
6471	间	jian4
6472	冿	jian1
6473	戔	jian1
6474	玪	yin2
6475	肩	jian1
6476	艰	jian1
6477	姦	jian1
6478	姧	jian1
6479	兼	jian1
6480	监	jian1
6481	堅	jian1
6482	惤	jian1
6483	猏	jian1
6484	笺	jian1
6485	菅	jian1
6486	菺	jian1
6487	豜	yan4
6488	湔	jian1
6489	牋	jian1
6490	犍	jian1
6491	缄	jian1
6492	葌	jian1
6493	葏	jian1
6494	間	jian1
6495	靬	jian1
6496	搛	jian1
6497	椷	jian1
6498	椾	jian1
6499	煎	jian1
6500	瑊	jian1
6501	睷	jian1
6502	碊	jian1
6503	缣	jian1
6504	蒹	jian1
6505	豣	yan4
6506	箋	jian1
6507	樫	jian1
6508	熞	jian1
6509	緘	jian1
6510	蕑	jian1
6511	蕳	jian1
6512	鲣	jian1
6513	鳽	jian1
6514	鹣	jian1
6515	熸	jian1
6516	篯	jian1
6517	縑	jian1
6518	鋻	jian4
6519	艱	jian1
6520	鞬	jian1
6521	餰	jian1
6522	馢	jian1
6523	麉	jian1
6524	瀐	jian1
6525	鞯	jian1
6526	鳒	jian1
6527	殱	jian1
6528	礛	jian1
6529	覸	jian1
6530	鵳	jian1
6531	瀸	jian1
6532	鰔	gan3
6533	櫼	jian1
6534	殲	jian1
6535	譼	jian1
6536	鰜	jian1
6537	鶼	jian1
6538	籛	jian1
6539	韀	jian1
6540	鰹	jian1
6541	囏	jian1
6542	虃	xian1
6543	鑯	jian1
6544	韉	jian1
6545	拣	jian3
6546	枧	jian3
6547	俭	jian3
6548	柬	jian3
6549	茧	jian3
6550	倹	jian3
6551	挸	jian3
6552	捡	jian3
6553	笕	jian3
6554	减	jian3
6555	剪	jian3
6556	梘	jian3
6557	检	jian3
6558	湕	jian4
6559	趼	yan4
6560	揀	jian3
6561	揃	jian1
6562	検	jian3
6563	減	jian3
6564	睑	jian3
6565	硷	jian3
6566	裥	jian3
6567	詃	jian3
6568	弿	jian3
6569	暕	jian3
6570	瑐	jian3
6571	筧	jian3
6572	简	jian3
6573	絸	jian3
6574	谫	jian3
6575	彅	jian3
6576	戩	jian3
6577	戬	jian3
6578	碱	jian3
6579	儉	jian3
6580	翦	jian3
6581	撿	jian3
6582	檢	jian3
6583	藆	jian3
6584	襇	jian3
6585	襉	jian3
6586	謇	jian3
6587	蹇	jian3
6588	瞼	jian3
6589	礆	jian3
6590	簡	jian3
6591	繭	jian3
6592	謭	jian3
6593	鬋	jian3
6594	鰎	jian3
6595	鹸	jian3
6596	瀽	jian3
6597	蠒	jian3
6598	鐗	jian4
6599	鹻	jian3
6600	譾	jian3
6601	襺	jian3
6602	见	jian4
6603	见	xian4
6604	件	jian4
6605	見	jian4
6606	侟	jian4
6607	建	jian4
6608	饯	jian4
6609	剑	jian4
6610	洊	jian4
6611	牮	jian4
6612	荐	jian4
6613	贱	jian4
6614	俴	jian4
6615	健	jian4
6616	剣	jian4
6617	栫	jian4
6618	涧	jian4
6619	珔	jian4
6620	舰	jian4
6621	剱	jian4
6622	徤	jian4
6623	渐	jian4
6624	袸	jian4
6625	谏	jian4
6626	釼	jian4
6627	寋	jian4
6628	旔	jian4
6629	楗	jian4
6630	毽	jian4
6631	溅	jian4
6632	腱	jian4
6633	臶	jian4
6634	葥	jian4
6635	跈	nian3
6636	践	jian4
6637	閒	xian2
6638	賎	jian4
6639	鉴	jian4
6640	键	jian4
6641	僭	jian4
6642	榗	jian4
6643	槛	kan3
6644	漸	jian4
6645	劍	jian4
6646	劎	jian4
6647	墹	jian4
6648	澗	jian4
6649	箭	jian4
6650	糋	jian4
6651	諓	jian4
6652	賤	jian4
6653	趝	jian4
6654	踐	jian4
6655	踺	jian4
6656	劒	jian4
6657	劔	jian4
6658	橺	jian4
6659	薦	jian4
6660	諫	jian4
6661	鍵	jian4
6662	餞	jian4
6663	瞯	jian4
6664	瞷	jian4
6665	磵	jian4
6666	礀	jian4
6667	螹	jian4
6668	鍳	jian4
6669	擶	jian4
6670	濺	jian4
6671	繝	jian4
6672	瀳	jian4
6673	覵	bian3
6674	鏩	jian4
6675	聻	ni3
6676	聻	jian4
6677	艦	jian4
6678	轞	jian4
6679	鑑	jian4
6680	鑒	jian4
6681	鑬	jian4
6682	鑳	jian4
6683	江	jiang1
6684	姜	jiang1
6685	将	jiang1
6686	将	jiang4
6687	将	qiang1
6688	茳	jiang1
6689	浆	jiang1
6690	畕	jiang1
6691	豇	jiang1
6692	葁	jiang1
6693	摪	jiang1
6694	翞	jiang1
6695	僵	jiang1
6696	漿	jiang1
6697	漿	jiang4
6698	螀	jiang1
6699	壃	jiang1
6700	彊	qiang2
6701	彊	qiang3
6702	彊	jiang4
6703	缰	jiang1
6704	薑	jiang1
6705	橿	jiang1
6706	殭	jiang1
6707	螿	jiang1
6708	鳉	jiang1
6709	疅	jiang1
6710	礓	jiang1
6711	疆	jiang1
6712	繮	jiang1
6713	韁	jiang1
6714	鱂	jiang1
6715	讲	jiang3
6716	奖	jiang3
6717	桨	jiang3
6718	傋	jiang3
6719	蒋	jiang3
6720	勥	jiang4
6721	奨	jiang3
6722	奬	jiang3
6723	蔣	jiang3
6724	槳	jiang3
6725	獎	jiang3
6726	耩	jiang3
6727	膙	jiang3
6728	講	jiang3
6729	顜	jiang3
6730	匞	jiang4
6731	匠	jiang4
6732	夅	lao2
6733	弜	jiang4
6734	杢	jiang4
6735	降	jiang4
6736	降	xiang2
6737	洚	jiang4
6738	绛	jiang4
6739	將	jiang1
6740	將	jiang4
6741	弶	jiang4
6742	袶	jiang4
6743	絳	jiang4
6744	畺	jiang1
6745	酱	jiang4
6746	摾	jiang4
6747	滰	jiang4
6748	嵹	qiang4
6749	犟	jiang4
6750	糡	jiang4
6751	醤	jiang4
6752	糨	jiang4
6753	醬	jiang4
6754	櫤	jiang4
6755	謽	jiang4
6756	艽	jiao1
6757	芁	jiao1
6758	交	jiao1
6759	郊	jiao1
6760	姣	jiao1
6761	娇	jiao1
6762	峧	jiao1
6763	浇	jiao1
6764	茭	jiao1
6765	茮	jiao1
6766	骄	jiao1
6767	胶	jiao1
6768	椒	jiao1
6769	焦	jiao1
6770	焳	jiao1
6771	蛟	jiao1
6772	跤	jiao1
6773	僬	jiao1
6774	虠	jiao1
6775	鲛	jiao1
6776	嬌	jiao1
6777	嶕	jiao1
6778	嶣	jiao1
6779	憍	jiao1
6780	澆	jiao1
6781	膠	jiao1
6782	蕉	jiao1
6783	燋	jiao1
6784	膲	jiao1
6785	礁	jiao1
6786	穚	jiao1
6787	鮫	jiao1
6788	鵁	jiao1
6789	鹪	jiao1
6790	簥	jiao1
6791	蟭	jiao1
6792	轇	jiao1
6793	鐎	jiao1
6794	驕	jiao1
6795	鷦	jiao1
6796	櫵	jiao2
6797	臫	jiao3
6798	角	jiao3
6799	佼	jiao3
6800	侥	jiao3
6801	挢	jiao3
6802	狡	jiao3
6803	绞	jiao3
6804	饺	jiao3
6805	捁	gao3
6806	晈	jiao3
6807	烄	jiao3
6808	笅	xiao2
6809	皎	jiao3
6810	矫	jiao3
6811	脚	jiao3
6812	铰	jiao3
6813	搅	jiao3
6814	筊	jiao3
6815	絞	jiao3
6816	敫	jiao3
6817	湬	qiu1
6818	煍	jiao3
6819	腳	jiao3
6820	賋	jiao3
6821	僥	jiao3
6822	摷	chao1
6823	暞	jiao3
6824	踋	jiao3
6825	鉸	jiao3
6826	餃	jiao3
6827	儌	jiao3
6828	劋	jiao3
6829	撟	jiao3
6830	撹	jiao3
6831	徼	jiao3
6832	敽	jiao3
6833	敿	jiao3
6834	缴	jiao3
6835	曒	jiao3
6836	璬	jiao3
6837	皦	jiao3
6838	蟜	jiao3
6839	鵤	jiao3
6840	繳	jiao3
6841	譑	jiao3
6842	孂	jiao3
6843	纐	jiao3
6844	攪	jiao3
6845	灚	jiao3
6846	鱎	jiao3
6847	叫	jiao4
6848	呌	jiao4
6849	挍	jiao4
6850	訆	jiao4
6851	珓	jiao4
6852	轿	jiao4
6853	较	jiao4
6854	敎	jiao4
6855	教	jiao4
6856	教	jiao1
6857	窖	jiao4
6858	滘	jiao4
6859	較	jiao4
6860	嘂	jiao4
6861	嘦	jiao4
6862	斠	jiao4
6863	漖	jiao4
6864	酵	jiao4
6865	噍	jiao4
6866	潐	jiao4
6867	噭	jiao4
6868	嬓	jiao4
6869	獥	jiao4
6870	藠	jiao4
6871	趭	jiao4
6872	轎	jiao4
6873	醮	jiao4
6874	譥	jiao4
6875	皭	jue2
6876	釂	jiao4
6877	阶	jie1
6878	疖	jie1
6879	皆	jie1
6880	皆	jie2
6881	接	jie1
6882	掲	jie1
6883	痎	jie1
6884	秸	jie1
6885	菨	jie1
6886	階	jie1
6887	喈	jie1
6888	嗟	jie1
6889	堦	jie1
6890	媘	jie1
6891	嫅	jie1
6892	揭	jie1
6893	椄	jie1
6894	湝	jie1
6895	脻	jie2
6896	街	jie1
6897	煯	jie1
6898	稭	jie1
6899	鞂	jia2
6900	蝔	jie1
6901	擑	jie1
6902	癤	jie1
6903	鶛	jie1
6904	卪	jie2
6905	孑	jie2
6906	尐	jie2
6907	节	jie1
6908	节	jie2
6909	讦	jie2
6910	刦	jie2
6911	刧	jie2
6912	劫	jie2
6913	岊	jie2
6914	昅	jie2
6915	刼	jie2
6916	劼	jie2
6917	杰	jie2
6918	疌	jie2
6919	衱	jie2
6920	诘	jie2
6921	拮	jie2
6922	洁	jie2
6923	结	jie2
6924	结	jie1
6925	迼	jie2
6926	倢	jie2
6927	桀	jie2
6928	桝	jie2
6929	莭	jie2
6930	訐	jie2
6931	偼	jie2
6932	婕	jie2
6933	崨	jie2
6934	捷	jie2
6935	袺	jie2
6936	傑	jie2
6937	媫	jie2
6938	蛣	jie2
6939	嵥	jie2
6940	楬	jie1
6941	楶	jie2
6942	滐	jie2
6943	睫	jie2
6944	蜐	jie2
6945	詰	jie2
6946	鉣	jie2
6947	魝	jie2
6948	截	jie2
6949	榤	jie2
6950	碣	jie2
6951	竭	jie2
6952	蓵	jie2
6953	鲒	jie2
6954	潔	jie2
6955	羯	jie2
6956	誱	jie2
6957	踕	jie2
6958	幯	jie2
6959	擳	jie2
6960	嶻	jie2
6961	擮	jie2
6962	礍	jie2
6963	鍻	jie2
6964	鮚	jie2
6965	巀	jie2
6966	櫭	ji4
6967	蠞	jie2
6968	蠘	jie2
6969	蠽	jie2
6970	她	ta1
6971	姐	jie3
6972	毑	jie3
6973	媎	jie3
6974	解	jie3
6975	飷	jie3
6976	檞	jie3
6977	丯	jie4
6978	介	jie4
6979	吤	ga1
6980	岕	jie4
6981	庎	jie4
6982	忦	jie4
6983	戒	jie4
6984	芥	jie4
6985	芥	gai4
6986	屆	jie4
6987	届	jie4
6988	斺	xie4
6989	玠	jie4
6990	界	jie4
6991	畍	jie4
6992	疥	jie4
6993	砎	jie4
6994	诫	jie4
6995	借	jie4
6996	悈	jie4
6997	蚧	jie4
6998	徣	jie4
6999	堺	jie4
7000	楐	jie4
7001	琾	jie4
7002	蛶	lie4
7003	骱	jie4
7004	犗	jie4
7005	誡	jie4
7006	褯	jie4
7007	魪	jie4
7008	藉	ji2
7009	繲	jie4
7010	巾	jin1
7011	今	jin1
7012	斤	jin1
7013	兓	jin1
7014	金	jin1
7015	津	jin1
7016	矜	jin1
7017	矜	guan1
7018	矜	qin2
7019	砛	jin1
7020	荕	jin1
7021	衿	jin1
7022	觔	jin1
7023	埐	jin1
7024	珒	jin1
7025	紟	jin1
7026	惍	jin1
7027	琎	jin4
7028	堻	jin1
7029	琻	jin1
7030	筋	jin1
7031	嶜	cen2
7032	璡	jin4
7033	鹶	jin1
7034	黅	jin1
7035	襟	jin1
7036	仅	jin3
7037	卺	jin3
7038	巹	jin3
7039	紧	jin3
7040	堇	jin3
7041	菫	jin3
7042	谨	jin3
7043	锦	jin3
7044	嫤	jin3
7045	廑	jin3
7046	漌	jin3
7047	盡	jin4
7048	緊	jin3
7049	蓳	jin3
7050	馑	jin3
7051	槿	jin3
7052	瑾	jin3
7053	錦	jin3
7054	謹	jin3
7055	饉	jin3
7056	伒	jin4
7057	劤	jin4
7058	尽	jin4
7059	劲	jin4
7060	妗	jin4
7061	近	jin4
7062	进	jin4
7063	侭	jin4
7064	枃	jin4
7065	浕	jin4
7066	荩	jin4
7067	晉	jin4
7068	晋	jin4
7069	浸	jin4
7070	烬	jin4
7071	赆	jin4
7072	祲	jin4
7073	進	jin4
7074	煡	xin4
7075	缙	jin4
7076	寖	jin4
7077	溍	jin4
7078	禁	jin4
7079	靳	jin4
7080	墐	jin4
7081	慬	jin4
7082	瑨	jin4
7083	僸	jin4
7084	凚	jin4
7085	歏	jin4
7086	殣	jin4
7087	觐	jin4
7088	噤	jin4
7089	濅	jin4
7090	縉	jin4
7091	賮	jin4
7092	嚍	jin3
7093	壗	jin4
7094	嬧	jin4
7095	濜	jin4
7096	燼	jin4
7097	璶	jin4
7098	覲	jin4
7099	贐	jin4
7100	齽	jin4
7101	坕	jing1
7102	坙	jing1
7103	巠	jing1
7104	京	jing1
7105	泾	jing1
7106	经	jing1
7107	茎	jing1
7108	亰	jing1
7109	秔	jing1
7110	荆	jing1
7111	荊	jing1
7112	涇	jing1
7113	莖	jing1
7114	婛	jing1
7115	惊	jing1
7116	旌	jing1
7117	旍	jing1
7118	猄	jing1
7119	経	jing1
7120	菁	jing1
7121	晶	jing1
7122	稉	jing1
7123	腈	jing1
7124	睛	jing1
7125	粳	jing1
7126	經	jing1
7127	兢	jing1
7128	精	jing1
7129	聙	jing1
7130	橸	jing1
7131	鲸	jing1
7132	鵛	jing1
7133	鯨	jing1
7134	鶁	jing1
7135	鶄	jing1
7136	麖	jing1
7137	鼱	jing1
7138	驚	jing1
7139	麠	jing1
7140	井	jing3
7141	丼	dan3
7142	阱	jing3
7143	刭	jing3
7144	坓	jing3
7145	宑	jing3
7146	汫	jing3
7147	汬	jing3
7148	肼	jing3
7149	剄	jing3
7150	穽	jing3
7151	颈	jing4
7152	颈	jing3
7153	景	jing3
7154	儆	jing3
7155	幜	jing3
7156	憬	jing3
7157	璄	jing3
7158	憼	jing3
7159	暻	jing3
7160	燝	jing3
7161	璟	jing3
7162	璥	jing3
7163	頸	jing3
7164	蟼	jing3
7165	警	jing3
7166	妌	jing4
7167	净	jing4
7168	弪	jing1
7169	径	jing4
7170	迳	jing4
7171	俓	ying2
7172	浄	jing4
7173	胫	jing4
7174	凈	jing4
7175	弳	jing1
7176	徑	jing4
7177	痉	jing4
7178	竞	jing4
7179	逕	jing4
7180	婙	jing4
7181	婧	jing4
7182	桱	jing4
7183	梷	jing4
7184	淨	jing4
7185	竟	jing4
7186	竫	jing4
7187	脛	jing4
7188	敬	jing4
7189	痙	jing4
7190	竧	jing4
7191	靓	jiang4
7192	靓	liang4
7193	傹	jiang1
7194	傹	jing4
7195	靖	jing4
7196	境	jing4
7197	獍	jing4
7198	誩	jing4
7199	踁	jing4
7200	静	jing4
7201	曔	jing4
7202	镜	jing4
7203	靜	jing4
7204	瀞	jing4
7205	鏡	jing4
7206	競	jing4
7207	竸	jing4
7208	冋	jiong1
7209	坰	jiong1
7210	扃	jiong1
7211	埛	jiong1
7212	絅	jiong1
7213	駉	jiong1
7214	駫	jiong1
7215	蘏	jiong3
7216	冏	jiong3
7217	囧	jiong3
7218	泂	jiong3
7219	迥	jiong3
7220	侰	jiong3
7221	炯	jiong3
7222	逈	jiong3
7223	浻	wen3
7224	烱	jiong3
7225	煚	jiong3
7226	窘	jiong3
7227	颎	jiong3
7228	綗	jiong3
7229	僒	jiong3
7230	煛	jiong3
7231	熲	jiong3
7232	澃	jiong4
7233	燑	tong2
7234	燛	jiong3
7235	褧	jiong3
7236	顈	jiong3
7237	蘔	jiong3
7238	丩	jiu1
7239	勼	jiu1
7240	纠	jiu1
7241	朻	jiu1
7242	牞	jiu1
7243	究	jiu1
7244	糺	jiu1
7245	鸠	jiu1
7246	糾	jiu1
7247	赳	jiu1
7248	阄	jiu1
7249	萛	jiu1
7250	啾	jiu1
7251	揂	you2
7252	揪	jiu1
7253	揫	jiu1
7254	鳩	jiu1
7255	摎	jiu1
7256	樛	jiu1
7257	鬏	jiu1
7258	鬮	jiu1
7259	九	jiu3
7260	㈨	jiu3
7261	久	jiu3
7262	乆	jiu3
7263	乣	jiu3
7264	奺	jiu3
7265	汣	jiu3
7266	杦	jiu3
7267	灸	jiu3
7268	灸	jiu4
7269	玖	jiu3
7270	舏	jiu3
7271	韭	jiu3
7272	紤	jiu3
7273	酒	jiu3
7274	镹	jiu3
7275	韮	jiu3
7276	匛	jiu4
7277	旧	jiu4
7278	臼	jiu4
7279	咎	jiu4
7280	畂	liu4
7281	疚	jiu4
7282	疚	jiu1
7283	柩	jiu4
7284	柾	zheng4
7285	柾	jiu1
7286	倃	jiu4
7287	桕	jiu4
7288	厩	jiu4
7289	救	jiu4
7290	就	jiu4
7291	廄	jiu4
7292	匓	jiu4
7293	舅	jiu4
7294	僦	jiu4
7295	廏	jiu4
7296	廐	jiu4
7297	慦	jiu4
7298	殧	cu4
7299	舊	jiu4
7300	鹫	jiu4
7301	麔	jiu4
7302	匶	jiu4
7303	齨	jiu4
7304	鷲	jiu4
7305	凥	ju1
7306	圧	ya1
7307	抅	gou1
7308	匊	ju1
7309	居	ju1
7310	拘	ju1
7311	泃	ju1
7312	狙	ju1
7313	苴	ju1
7314	驹	ju1
7315	倶	ju4
7316	挶	ju2
7317	疽	ju1
7318	痀	ju1
7319	眗	ju1
7320	砠	ju1
7321	罝	ju1
7322	陱	ju1
7323	娵	ju1
7324	婅	ju2
7325	婮	ju1
7326	崌	ju1
7327	掬	ju1
7328	梮	ju1
7329	涺	ju1
7330	椐	ju1
7331	琚	ju1
7332	腒	ju1
7333	跔	ju1
7334	锔	ju1
7335	锔	ju2
7336	裾	ju1
7337	雎	ju1
7338	艍	ju1
7339	蜛	ju1
7340	諊	ju1
7341	踘	ju1
7342	駒	ju1
7343	鮈	ju1
7344	鴡	ju1
7345	鞠	ju1
7346	鞫	ju1
7347	鶋	ju1
7348	局	ju2
7349	泦	ju2
7350	侷	ju2
7351	狊	ju4
7352	桔	jie2
7353	毩	ju1
7354	淗	ju2
7355	焗	ju2
7356	菊	ju2
7357	郹	ju2
7358	椈	ju2
7359	毱	ju1
7360	湨	ju2
7361	犑	ju2
7362	輂	ju2
7363	僪	yu4
7364	粷	ju2
7365	蓻	ji2
7366	跼	ju2
7367	趜	ju2
7368	躹	ju2
7369	閰	ju1
7370	橘	ju2
7371	檋	ju2
7372	駶	ju2
7373	鵙	ju2
7374	蹫	ju2
7375	鵴	ju2
7376	巈	ju2
7377	蘜	ju2
7378	鼰	nian4
7379	鼳	ju2
7380	驧	ju2
7381	咀	ju3
7382	弆	ju3
7383	沮	ju3
7384	举	ju3
7385	矩	ju3
7386	莒	ju3
7387	挙	ju3
7388	椇	ju3
7389	筥	ju3
7390	榉	ju3
7391	榘	ju3
7392	蒟	ju3
7393	龃	ju3
7394	聥	yu3
7395	舉	ju3
7396	踽	ju3
7397	擧	ju3
7398	櫸	ju3
7399	齟	ju3
7400	欅	ju3
7401	襷	ju3
7402	句	ju4
7403	巨	ju4
7404	讵	ju4
7405	姖	ju4
7406	岠	ju4
7407	怇	ju4
7408	拒	ju4
7409	洰	qu2
7410	苣	ju4
7411	苣	qu3
7412	邭	qu2
7413	具	ju4
7414	怚	ju4
7415	拠	ju4
7416	昛	ju4
