ID	汉字	拼音
358	捠	bang1
359	梆	bang1
360	浜	bang1
361	邫	bang1
362	幇	bang1
363	幚	bang1
364	縍	bang1
365	幫	bang1
366	鞤	bang1
367	绑	bang3
368	綁	bang3
369	榜	bang3
370	牓	bang3
371	膀	bang3
372	玤	bang4
373	蚌	bang4
374	蚌	beng4
375	傍	bang4
376	棒	bang4
377	硥	bang4
378	谤	bang4
379	塝	bang4
380	徬	pang2
381	稖	bang4
382	蒡	bang4
383	蜯	bang4
384	磅	bang4
385	磅	pang2
386	镑	bang4
387	艕	bang3
388	謗	bang4
389	鎊	bang4
390	勹	bao1
391	包	bao1
392	佨	bao1
393	孢	bao1
394	苞	bao1
395	胞	bao1
396	剝	bao1
397	笣	bao1
398	煲	bao1
399	龅	bao1
400	蕔	bao1
401	褒	bao1
402	闁	bao1
403	襃	bao1
404	齙	bao1
405	窇	bao2
406	嫑	bao2
407	雹	bao2
408	宝	bao3
409	怉	bao3
410	饱	bao3
411	保	bao3
412	鸨	bao3
413	珤	bao3
414	堡	bao3
415	堢	bao3
416	媬	bao3
417	葆	bao3
418	寚	bao3
419	飹	liu3
420	飽	bao3
421	褓	bao3
422	駂	bao3
423	鳵	bao3
424	緥	bao3
425	鴇	bao3
426	賲	bao3
427	藵	bao1
428	寳	bao3
429	寶	bao3
430	靌	bao3
431	勽	bao4
432	报	bao4
433	抱	bao4
434	豹	bao4
435	趵	bao4
436	铇	bao4
437	菢	bao4
438	袌	gou1
439	報	bao4
440	鉋	bao4
441	鲍	bao4
442	靤	pao4
443	骲	bao4
444	暴	bao4
445	暴	pu4
446	髱	pao3
447	虣	bao4
448	鮑	bao4
449	儤	bao4
450	曓	bao4
451	爆	bao4
452	忁	bao4
453	鑤	bao4
454	萡	be1
455	陂	bei1
456	卑	bei1
457	杯	bei1
458	盃	bei1
459	桮	bei1
460	悲	bei1
461	揹	bei1
462	碑	bei1
463	鹎	bei1
464	藣	pi2
465	鵯	bei1
466	喺	bei2
467	北	bei3
468	鉳	bei3
469	贝	bei4
470	狈	bei4
471	貝	bei4
472	邶	bei4
473	备	bei4
474	昁	bei4
475	牬	bei4
476	苝	bei3
477	背	bei4
478	钡	bei4
479	俻	bei4
480	倍	bei4
481	悖	bei4
482	狽	bei4
483	被	bei4
484	被	pi1
485	偝	bei4
486	偹	bei4
487	梖	bei4
488	珼	bei4
489	鄁	bei4
490	備	bei4
491	僃	bei4
492	惫	bei4
493	焙	bei4
494	琲	pei4
495	軰	bei4
496	辈	bei4
497	愂	bei4
498	碚	bei4
499	禙	bei4
500	蓓	bei4
501	蛽	bei4
502	犕	bei4
503	褙	bei4
504	誖	bei4
505	骳	bi4
506	輩	bei4
507	鋇	bei4
508	憊	bei4
509	糒	bei4
510	鞴	bei4
511	鐾	bei4
512	奔	ben1
513	奔	ben4
514	泍	ben1
515	贲	bi4
516	倴	ben4
517	渀	ben1
518	逩	ben4
519	犇	ben1
520	賁	bi4
521	锛	ben1
522	錛	ben1
523	本	ben3
524	苯	ben3
525	奙	ben3
526	畚	ben3
527	楍	ben3
528	坌	ben4
529	捹	ben4
530	桳	ben3
531	笨	ben4
532	撪	ben3
533	獖	fen4
534	輽	fan4
535	伻	beng1
536	祊	beng1
537	奟	peng1
538	崩	beng1
539	绷	beng1
540	絣	beng1
541	閍	beng1
542	嵭	beng1
543	痭	beng1
544	嘣	beng1
545	綳	beng1
546	繃	beng1
547	甭	beng2
548	埲	beng3
549	菶	beng3
550	琫	beng3
551	鞛	beng3
552	泵	beng4
553	迸	beng4
554	逬	beng4
555	塴	beng4
556	甏	beng4
557	镚	beng4
558	蹦	beng4
559	鏰	beng4
560	皀	bi4
561	皀	xiang1
562	屄	bi1
563	偪	bi1
564	毴	bi1
565	逼	bi1
566	豍	bi4
567	螕	pi2
568	鲾	bi1
569	鎞	bi1
570	鵖	lang2
571	鰏	bi4
572	柲	bi4
573	荸	bi2
574	鼻	bi2
575	嬶	bi2
576	匕	bi3
577	比	bi3
578	夶	bi3
579	朼	bi3
580	佊	bi3
581	吡	bi3
582	妣	bi3
583	沘	bi3
584	疕	bi3
